Article Title,Article Type,Newspaper,Publication City,Publication State,Link,Species,Reviewer1,Reviewer1_date,Reviewer2,Reviewer2_date,Code1,Code1_valence,Code2,Code2_valence,Code3,Code3_valence,Code4,Code4_valence,Code5,Code5_valence,Species_2,Notes
Review: More than a bearable read,,,,,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/1901272A2F5C7360,Grizzly Bear,BW,,,,,,,,,,,,,,,
avid Mattson: Now is not the time to remove federal Endangered Species Act protections for grizzlies,local article,Missoulian,Missoula,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/1901388B86AD4250,Grizzly Bear,BW,03/05/2023,,,Wildlife is increasing,negative,Wildlife injury,positive,Wildlife as resources,positive,Problem is politics,negative,,,,
Legislature proposing bills to kill wildlife entrusted to public,local article,Missoulian,Missoula,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/1901388B8F260958,Grizzly Bear,BW,03/05/2023,,,Problem is politics,negative,Wildlife as resources,positive,,,,,,,,
Rewilding grizzlies: New documentary filmed in Northwest B.C. airs tonight (March 3),local article,Abbotsford News,British Columbia,Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/1900FC3EC07B4698,Grizzly Bear,BW,03/05/2023,,,Wildlife injury,negative,Wildlife relocated,positive,,,,,,,,
Some wolf-related bills advance while others die,,,,,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/19004DA5DC5743A8,Grizzly Bear,BW,,,,,,,,,,,,,,,
Rewilding grizzlies: New documentary filmed in Smithers airs tonight (March 3),local article,Interior News,British Columbia,Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/1900FC40C7CC8560,Grizzly Bear,BW,03/05/2023,,,Wildlife injury,negative,Wildlife relocated,positive,,,,,,,,
How humans are rethinking their relationships with wildlife,local article,Bozeman Daily Chronicle,Bozeman,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/19004DA5B1241FB8,Grizzly Bear,BW,03/05/2023,,,Grazing conflicts with wildlife,negative,Wildlife is increasing,positive,,,,,,,,
Hageman introduces bill to delist Yellowstone grizzlies,,,,,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/190093C815C0D130,Grizzly Bear,BW,,,,,,,,,,,,,,,
Hageman introduces bill to delist Yellowstone grizzlies,,,,,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/1900932B41FDF2E0,Grizzly Bear,BW,,,,,,,,,,,,,,,
Save ranching and wildlife by investing in relationships,local article,Western News,Libby,Montana,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/19009C78B78929C0,Grizzly Bear,BW,03/05/2023,,,Grazing conflicts with wildlife,negative,Wildlife cause monetary loss,negative,Wildlife is increasing,negative,,,,,,
Gilles Stockton: Electronic ear tags,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F19018E622FA77A68,Boars,SB,03/06/23,,,,,,,,,,,,,,
Ark-La-Tex feral hog damage assessment provides deeper understanding,local article,Farm Talk,Parsons,Kansas,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FF9787D6748518,Boars,SB,03/06/23,,,Wildlife causes monetary loss,negative,Problem is wildlife,negative,,,,,,,,
LWFC adopts resolution asking EPA to expedite consideration of feral hog toxicant testing and registration ,local article,L'Observateur,La Place,Louisiana ,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1901247D2B6E2DE8,Boars,SB,03/06/23,,,Wildlife is increasing,negative,Wildlife causes monetary loss,negative,Wildlife conflicts with other wildlife,negative,,,,,,
APHIS Info Collection: Swine Health Collection,online,Targeted News Service,,USA,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F1900877317433728,Boars,SB,03/06/23,,,Problem is managers,negative,,,,,,,,,,
Responsible industry for a sound environmental issues public comment to EPA,online,Targeted News Services,,California,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F190054BFF7221708,Boars,SB,03/06/23,,,Problem is wildlife,negative,,,,,,,,,,
Northeast Miss. producers discuss educational needs,local article,Daily Times Leader,West Point,Mississippi ,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FFCC358F4CDAD8,Boars,SB,03/06/23,,,Problem is managers,negative,,,,,,,,,,
Montana council releases invasive species watch list,local article,Bozeman Daily Chronicle,Bozeman,Montana,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FFA5B2C7F7C3B0,Boars,SB,03/06/23,,,Problem is wildlife,negative,Wildlife is increasing,negative ,,,,,,,,
Montana council releases invasive species watch list,,The Billings Gazette,Billings,Montana,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FDF14E71C02138,Boars,SB,03/06/24,,,,,,,,,,,,,,
Montana council releases invasive species watch list,,Independent Record,Helena,Montana,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FDEE52C0277590,Boars,SB,03/06/23,,,,,,,,,,,,,,
Montana council releases invasive species watch list,,Missoulian,Missoula,Montana,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FDEEF2E98E65B0,Boars,SB,03/06/23,,,,,,,,,,,,,,
Montana council releases invasive species watch list,,The Montana Standard,Butte,Montana,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FDEFAD615CAE10,Boars,SB,03/06/23,,,,,,,,,,,,,,
Montana council releases invasive species watch list,,Ravalli Republic,Hamilton,Montana,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18FDECA051B59990,Boars,SB,03/06/23,,,,,,,,,,,,,,
